run 1,,,,,,,,,
"graph [30,0.1]",,,,,,,,,
backtraing parameter combination,number of teams,elapsed time,assignment times,unassignment times,result,correctness,,,
"first_unassigned_variable, unordered_domain_values, no_inference",4,0.001151085,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0, 11: 2, 12: 1, 13: 0, 14: 2, 15: 0, 16: 0, 17: 2, 18: 3, 19: 0, 20: 2, 21: 0, 22: 2, 23: 3, 24: 0, 25: 1, 26: 2, 27: 2, 28: 0, 29: 2}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, forward_checking",4,0.000365973,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0, 11: 2, 12: 1, 13: 0, 14: 2, 15: 0, 16: 0, 17: 2, 18: 3, 19: 0, 20: 2, 21: 0, 22: 2, 23: 3, 24: 0, 25: 1, 26: 2, 27: 2, 28: 0, 29: 2}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, mac",4,0.000658035,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0, 11: 2, 12: 1, 13: 0, 14: 2, 15: 0, 16: 0, 17: 2, 18: 3, 19: 0, 20: 2, 21: 0, 22: 2, 23: 3, 24: 0, 25: 1, 26: 2, 27: 2, 28: 0, 29: 2}",TRUE,,,
"first_unassigned_variable, lcv, no_inference",4,0.000424862,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0, 11: 2, 12: 1, 13: 0, 14: 2, 15: 0, 16: 0, 17: 2, 18: 3, 19: 0, 20: 2, 21: 0, 22: 2, 23: 3, 24: 0, 25: 1, 26: 2, 27: 2, 28: 0, 29: 2}",TRUE,,,
"first_unassigned_variable, lcv, forward_checking",4,0.00059104,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0, 11: 2, 12: 1, 13: 0, 14: 2, 15: 0, 16: 0, 17: 2, 18: 3, 19: 0, 20: 2, 21: 0, 22: 2, 23: 3, 24: 0, 25: 1, 26: 2, 27: 2, 28: 0, 29: 2}",TRUE,,,
"first_unassigned_variable, lcv, mac",4,0.000647783,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0, 11: 2, 12: 1, 13: 0, 14: 2, 15: 0, 16: 0, 17: 2, 18: 3, 19: 0, 20: 2, 21: 0, 22: 2, 23: 3, 24: 0, 25: 1, 26: 2, 27: 2, 28: 0, 29: 2}",TRUE,,,
"mrv, unordered_domain_values, no_inference",4,0.000977039,30,0,"{9: 1, 22: 2, 1: 0, 12: 1, 10: 0, 5: 0, 13: 0, 28: 0, 6: 0, 7: 1, 26: 2, 19: 0, 24: 0, 4: 1, 29: 2, 16: 0, 14: 2, 27: 2, 21: 0, 25: 1, 17: 2, 0: 0, 3: 0, 20: 2, 18: 3, 15: 0, 2: 1, 23: 3, 11: 2, 8: 1}",TRUE,,,
"mrv, unordered_domain_values, forward_checking",4,0.001242161,30,0,"{27: 2, 0: 0, 20: 2, 6: 0, 18: 3, 23: 3, 15: 0, 10: 0, 3: 0, 1: 0, 2: 1, 7: 1, 24: 0, 9: 1, 29: 2, 11: 2, 14: 2, 12: 1, 13: 0, 25: 1, 8: 1, 28: 0, 21: 0, 4: 1, 16: 0, 17: 2, 22: 2, 19: 0, 5: 0, 26: 2}",TRUE,,,
"mrv, unordered_domain_values, mac",4,0.00173378,30,0,"{5: 0, 3: 0, 7: 1, 8: 1, 13: 0, 10: 0, 0: 0, 12: 1, 4: 1, 1: 0, 23: 3, 29: 2, 14: 2, 25: 1, 16: 0, 26: 2, 17: 2, 20: 2, 6: 0, 22: 2, 11: 2, 19: 0, 24: 0, 9: 1, 15: 0, 28: 0, 21: 0, 2: 1, 18: 3, 27: 2}",TRUE,,,
"mrv, lcv, no_inference",4,0.001292229,30,0,"{11: 2, 3: 0, 2: 1, 7: 1, 19: 0, 10: 0, 23: 3, 6: 0, 28: 0, 24: 0, 13: 0, 18: 3, 0: 0, 29: 2, 5: 0, 25: 1, 4: 1, 14: 2, 26: 2, 12: 1, 15: 0, 21: 0, 8: 1, 16: 0, 22: 2, 1: 0, 27: 2, 17: 2, 9: 1, 20: 2}",TRUE,,,
"mrv, lcv, forward_checking",4,0.00097084,30,0,"{7: 1, 17: 2, 29: 2, 15: 0, 19: 0, 23: 3, 11: 2, 2: 1, 28: 0, 14: 2, 22: 2, 5: 0, 9: 1, 25: 1, 0: 0, 16: 0, 24: 0, 10: 0, 13: 0, 1: 0, 21: 0, 20: 2, 18: 3, 8: 1, 26: 2, 12: 1, 3: 0, 4: 1, 27: 2, 6: 0}",TRUE,,,
"mrv, lcv, mac",4,0.001357079,30,0,"{23: 3, 1: 0, 0: 0, 12: 1, 13: 0, 20: 2, 6: 0, 2: 1, 16: 0, 4: 1, 11: 2, 10: 0, 19: 0, 14: 2, 27: 2, 22: 2, 17: 2, 9: 1, 21: 0, 15: 0, 18: 3, 26: 2, 5: 0, 24: 0, 7: 1, 25: 1, 8: 1, 29: 2, 3: 0, 28: 0}",TRUE,,,
"run 1 graph [30,0.1] average time",fastest combination,fastest time,slowest combination,slowest time,,,,,
0.000950992,"first_unassigned_variable, unordered_domain_values, forward_checking",0.000365973,"mrv, unordered_domain_values, mac",0.00173378,,,,,
"graph [30,0.2]",,,,,,,,,
backtraing parameter combination,number of teams,elapsed time,assignment times,unassignment times,result,correctness,,,
"first_unassigned_variable, unordered_domain_values, no_inference",5,0.000590086,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 2, 5: 0, 6: 1, 7: 1, 8: 1, 9: 3, 10: 0, 11: 2, 12: 3, 13: 3, 14: 2, 15: 2, 16: 0, 17: 2, 18: 0, 19: 1, 20: 0, 21: 0, 22: 3, 23: 2, 24: 4, 25: 3, 26: 0, 27: 3, 28: 2, 29: 3}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, forward_checking",5,0.000386,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 2, 5: 0, 6: 1, 7: 1, 8: 1, 9: 3, 10: 0, 11: 2, 12: 3, 13: 3, 14: 2, 15: 2, 16: 0, 17: 2, 18: 0, 19: 1, 20: 0, 21: 0, 22: 3, 23: 2, 24: 4, 25: 3, 26: 0, 27: 3, 28: 2, 29: 3}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, mac",5,0.000585079,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 2, 5: 0, 6: 1, 7: 1, 8: 1, 9: 3, 10: 0, 11: 2, 12: 3, 13: 3, 14: 2, 15: 2, 16: 0, 17: 2, 18: 0, 19: 1, 20: 0, 21: 0, 22: 3, 23: 2, 24: 4, 25: 3, 26: 0, 27: 3, 28: 2, 29: 3}",TRUE,,,
"first_unassigned_variable, lcv, no_inference",5,0.000417709,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 2, 5: 0, 6: 1, 7: 1, 8: 1, 9: 3, 10: 0, 11: 2, 12: 3, 13: 3, 14: 2, 15: 2, 16: 0, 17: 2, 18: 0, 19: 1, 20: 0, 21: 0, 22: 3, 23: 2, 24: 4, 25: 3, 26: 0, 27: 3, 28: 2, 29: 3}",TRUE,,,
"first_unassigned_variable, lcv, forward_checking",5,0.00057292,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 2, 5: 0, 6: 1, 7: 1, 8: 1, 9: 3, 10: 0, 11: 2, 12: 3, 13: 3, 14: 2, 15: 2, 16: 0, 17: 2, 18: 0, 19: 1, 20: 0, 21: 0, 22: 3, 23: 2, 24: 4, 25: 3, 26: 0, 27: 3, 28: 2, 29: 3}",TRUE,,,
"first_unassigned_variable, lcv, mac",5,0.000693798,30,0,"{0: 0, 1: 0, 2: 1, 3: 0, 4: 2, 5: 0, 6: 1, 7: 1, 8: 1, 9: 3, 10: 0, 11: 2, 12: 3, 13: 3, 14: 2, 15: 2, 16: 0, 17: 2, 18: 0, 19: 1, 20: 0, 21: 0, 22: 3, 23: 2, 24: 4, 25: 3, 26: 0, 27: 3, 28: 2, 29: 3}",TRUE,,,
