run 1
"graph [100,0.1]"
backtraing parameter combination,number of teams,elapsed time,assignment times,unassignment times,result,correctness
"first_unassigned_variable, unordered_domain_values, no_inference",7,0.004547834396362305,100,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 2, 11: 1, 12: 1, 13: 2, 14: 3, 15: 1, 16: 1, 17: 1, 18: 0, 19: 1, 20: 2, 21: 2, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 2, 28: 2, 29: 0, 30: 2, 31: 2, 32: 1, 33: 3, 34: 1, 35: 0, 36: 3, 37: 0, 38: 0, 39: 4, 40: 2, 41: 4, 42: 1, 43: 2, 44: 0, 45: 2, 46: 2, 47: 2, 48: 1, 49: 2, 50: 1, 51: 0, 52: 1, 53: 3, 54: 2, 55: 3, 56: 0, 57: 2, 58: 1, 59: 3, 60: 1, 61: 4, 62: 4, 63: 1, 64: 3, 65: 0, 66: 1, 67: 2, 68: 1, 69: 2, 70: 4, 71: 0, 72: 3, 73: 2, 74: 5, 75: 3, 76: 5, 77: 6, 78: 3, 79: 2, 80: 3, 81: 4, 82: 5, 83: 4, 84: 2, 85: 5, 86: 3, 87: 6, 88: 1, 89: 2, 90: 4, 91: 5, 92: 5, 93: 1, 94: 2, 95: 0, 96: 3, 97: 6, 98: 3, 99: 0}",True
"first_unassigned_variable, unordered_domain_values, forward_checking",7,0.0018548965454101562,100,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 2, 11: 1, 12: 1, 13: 2, 14: 3, 15: 1, 16: 1, 17: 1, 18: 0, 19: 1, 20: 2, 21: 2, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 2, 28: 2, 29: 0, 30: 2, 31: 2, 32: 1, 33: 3, 34: 1, 35: 0, 36: 3, 37: 0, 38: 0, 39: 4, 40: 2, 41: 4, 42: 1, 43: 2, 44: 0, 45: 2, 46: 2, 47: 2, 48: 1, 49: 2, 50: 1, 51: 0, 52: 1, 53: 3, 54: 2, 55: 3, 56: 0, 57: 2, 58: 1, 59: 3, 60: 1, 61: 4, 62: 4, 63: 1, 64: 3, 65: 0, 66: 1, 67: 2, 68: 1, 69: 2, 70: 4, 71: 0, 72: 3, 73: 2, 74: 5, 75: 3, 76: 5, 77: 6, 78: 3, 79: 2, 80: 3, 81: 4, 82: 5, 83: 4, 84: 2, 85: 5, 86: 3, 87: 6, 88: 1, 89: 2, 90: 4, 91: 5, 92: 5, 93: 1, 94: 2, 95: 0, 96: 3, 97: 6, 98: 3, 99: 0}",True
"first_unassigned_variable, unordered_domain_values, mac",7,0.0029687881469726562,100,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 2, 11: 1, 12: 1, 13: 2, 14: 3, 15: 1, 16: 1, 17: 1, 18: 0, 19: 1, 20: 2, 21: 2, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 2, 28: 2, 29: 0, 30: 2, 31: 2, 32: 1, 33: 3, 34: 1, 35: 0, 36: 3, 37: 0, 38: 0, 39: 4, 40: 2, 41: 4, 42: 1, 43: 2, 44: 0, 45: 2, 46: 2, 47: 2, 48: 1, 49: 2, 50: 1, 51: 0, 52: 1, 53: 3, 54: 2, 55: 3, 56: 0, 57: 2, 58: 1, 59: 3, 60: 1, 61: 4, 62: 4, 63: 1, 64: 3, 65: 0, 66: 1, 67: 2, 68: 1, 69: 2, 70: 4, 71: 0, 72: 3, 73: 2, 74: 5, 75: 3, 76: 5, 77: 6, 78: 3, 79: 2, 80: 3, 81: 4, 82: 5, 83: 4, 84: 2, 85: 5, 86: 3, 87: 6, 88: 1, 89: 2, 90: 4, 91: 5, 92: 5, 93: 1, 94: 2, 95: 0, 96: 3, 97: 6, 98: 3, 99: 0}",True
"first_unassigned_variable, lcv, no_inference",7,0.0021529197692871094,100,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 2, 11: 1, 12: 1, 13: 2, 14: 3, 15: 1, 16: 1, 17: 1, 18: 0, 19: 1, 20: 2, 21: 2, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 2, 28: 2, 29: 0, 30: 2, 31: 2, 32: 1, 33: 3, 34: 1, 35: 0, 36: 3, 37: 0, 38: 0, 39: 4, 40: 2, 41: 4, 42: 1, 43: 2, 44: 0, 45: 2, 46: 2, 47: 2, 48: 1, 49: 2, 50: 1, 51: 0, 52: 1, 53: 3, 54: 2, 55: 3, 56: 0, 57: 2, 58: 1, 59: 3, 60: 1, 61: 4, 62: 4, 63: 1, 64: 3, 65: 0, 66: 1, 67: 2, 68: 1, 69: 2, 70: 4, 71: 0, 72: 3, 73: 2, 74: 5, 75: 3, 76: 5, 77: 6, 78: 3, 79: 2, 80: 3, 81: 4, 82: 5, 83: 4, 84: 2, 85: 5, 86: 3, 87: 6, 88: 1, 89: 2, 90: 4, 91: 5, 92: 5, 93: 1, 94: 2, 95: 0, 96: 3, 97: 6, 98: 3, 99: 0}",True
"first_unassigned_variable, lcv, forward_checking",7,0.0024268627166748047,100,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 2, 11: 1, 12: 1, 13: 2, 14: 3, 15: 1, 16: 1, 17: 1, 18: 0, 19: 1, 20: 2, 21: 2, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 2, 28: 2, 29: 0, 30: 2, 31: 2, 32: 1, 33: 3, 34: 1, 35: 0, 36: 3, 37: 0, 38: 0, 39: 4, 40: 2, 41: 4, 42: 1, 43: 2, 44: 0, 45: 2, 46: 2, 47: 2, 48: 1, 49: 2, 50: 1, 51: 0, 52: 1, 53: 3, 54: 2, 55: 3, 56: 0, 57: 2, 58: 1, 59: 3, 60: 1, 61: 4, 62: 4, 63: 1, 64: 3, 65: 0, 66: 1, 67: 2, 68: 1, 69: 2, 70: 4, 71: 0, 72: 3, 73: 2, 74: 5, 75: 3, 76: 5, 77: 6, 78: 3, 79: 2, 80: 3, 81: 4, 82: 5, 83: 4, 84: 2, 85: 5, 86: 3, 87: 6, 88: 1, 89: 2, 90: 4, 91: 5, 92: 5, 93: 1, 94: 2, 95: 0, 96: 3, 97: 6, 98: 3, 99: 0}",True
"first_unassigned_variable, lcv, mac",7,0.003364086151123047,100,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 2, 11: 1, 12: 1, 13: 2, 14: 3, 15: 1, 16: 1, 17: 1, 18: 0, 19: 1, 20: 2, 21: 2, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 2, 28: 2, 29: 0, 30: 2, 31: 2, 32: 1, 33: 3, 34: 1, 35: 0, 36: 3, 37: 0, 38: 0, 39: 4, 40: 2, 41: 4, 42: 1, 43: 2, 44: 0, 45: 2, 46: 2, 47: 2, 48: 1, 49: 2, 50: 1, 51: 0, 52: 1, 53: 3, 54: 2, 55: 3, 56: 0, 57: 2, 58: 1, 59: 3, 60: 1, 61: 4, 62: 4, 63: 1, 64: 3, 65: 0, 66: 1, 67: 2, 68: 1, 69: 2, 70: 4, 71: 0, 72: 3, 73: 2, 74: 5, 75: 3, 76: 5, 77: 6, 78: 3, 79: 2, 80: 3, 81: 4, 82: 5, 83: 4, 84: 2, 85: 5, 86: 3, 87: 6, 88: 1, 89: 2, 90: 4, 91: 5, 92: 5, 93: 1, 94: 2, 95: 0, 96: 3, 97: 6, 98: 3, 99: 0}",True
"mrv, unordered_domain_values, no_inference",7,0.00802922248840332,100,0,"{24: 0, 0: 0, 66: 1, 77: 6, 13: 2, 61: 4, 18: 0, 54: 2, 62: 4, 81: 4, 43: 2, 33: 3, 67: 2, 72: 3, 68: 1, 86: 3, 60: 1, 47: 2, 87: 6, 36: 3, 99: 0, 92: 5, 27: 2, 17: 1, 52: 1, 51: 0, 84: 2, 1: 0, 75: 3, 83: 4, 49: 2, 58: 1, 22: 0, 97: 6, 46: 2, 35: 0, 20: 2, 90: 4, 63: 1, 10: 2, 39: 4, 50: 1, 59: 3, 79: 2, 30: 2, 5: 1, 3: 0, 21: 2, 78: 3, 7: 0, 89: 2, 23: 0, 8: 0, 82: 5, 42: 1, 44: 0, 31: 2, 71: 0, 9: 0, 34: 1, 2: 0, 14: 3, 6: 0, 12: 1, 94: 2, 91: 5, 32: 1, 55: 3, 57: 2, 65: 0, 15: 1, 11: 1, 70: 4, 45: 2, 76: 5, 48: 1, 26: 0, 16: 1, 4: 0, 88: 1, 19: 1, 73: 2, 98: 3, 53: 3, 41: 4, 38: 0, 56: 0, 40: 2, 69: 2, 37: 0, 96: 3, 85: 5, 74: 5, 93: 1, 29: 0, 25: 0, 80: 3, 28: 2, 64: 3, 95: 0}",True
"mrv, unordered_domain_values, forward_checking",7,0.00928187370300293,100,0,"{74: 5, 23: 0, 73: 2, 42: 1, 18: 0, 65: 0, 50: 1, 94: 2, 29: 0, 79: 2, 85: 5, 81: 4, 32: 1, 80: 3, 87: 6, 45: 2, 35: 0, 83: 4, 5: 1, 68: 1, 55: 3, 71: 0, 36: 3, 89: 2, 17: 1, 7: 0, 58: 1, 82: 5, 40: 2, 67: 2, 61: 4, 54: 2, 10: 2, 84: 2, 12: 1, 41: 4, 20: 2, 38: 0, 77: 6, 64: 3, 93: 1, 59: 3, 8: 0, 0: 0, 63: 1, 9: 0, 33: 3, 90: 4, 25: 0, 92: 5, 72: 3, 97: 6, 19: 1, 66: 1, 88: 1, 15: 1, 52: 1, 13: 2, 11: 1, 14: 3, 62: 4, 91: 5, 30: 2, 31: 2, 86: 3, 49: 2, 53: 3, 56: 0, 98: 3, 27: 2, 95: 0, 6: 0, 51: 0, 75: 3, 39: 4, 78: 3, 47: 2, 70: 4, 48: 1, 34: 1, 60: 1, 57: 2, 24: 0, 26: 0, 4: 0, 37: 0, 96: 3, 76: 5, 3: 0, 1: 0, 46: 2, 44: 0, 2: 0, 99: 0, 21: 2, 28: 2, 69: 2, 16: 1, 43: 2, 22: 0}",True
"mrv, unordered_domain_values, mac",7,0.009593009948730469,100,0,"{66: 1, 82: 5, 50: 1, 96: 3, 29: 0, 93: 1, 91: 5, 5: 1, 19: 1, 88: 1, 69: 2, 53: 3, 81: 4, 30: 2, 31: 2, 77: 6, 32: 1, 70: 4, 20: 2, 59: 3, 44: 0, 39: 4, 8: 0, 7: 0, 68: 1, 58: 1, 33: 3, 83: 4, 98: 3, 27: 2, 2: 0, 3: 0, 1: 0, 90: 4, 61: 4, 6: 0, 18: 0, 12: 1, 74: 5, 47: 2, 94: 2, 56: 0, 67: 2, 43: 2, 38: 0, 42: 1, 23: 0, 60: 1, 54: 2, 48: 1, 37: 0, 13: 2, 46: 2, 11: 1, 24: 0, 71: 0, 89: 2, 84: 2, 99: 0, 80: 3, 85: 5, 51: 0, 76: 5, 16: 1, 73: 2, 41: 4, 36: 3, 25: 0, 86: 3, 0: 0, 4: 0, 95: 0, 40: 2, 97: 6, 9: 0, 45: 2, 10: 2, 34: 1, 35: 0, 75: 3, 14: 3, 55: 3, 22: 0, 78: 3, 17: 1, 79: 2, 52: 1, 87: 6, 26: 0, 63: 1, 57: 2, 64: 3, 21: 2, 62: 4, 49: 2, 65: 0, 28: 2, 15: 1, 72: 3, 92: 5}",True
