Probability,Minimum Number of Teams,CPU Time,Satisfiability
0.1,3,CPU time              : 0.001064 s,SATISFIABLE
0.1,3,CPU time              : 0.000917 s,SATISFIABLE
0.1,3,CPU time              : 0.000962 s,SATISFIABLE
0.1,2,CPU time              : 0.001012 s,SATISFIABLE
0.1,2,CPU time              : 0.00089 s,SATISFIABLE
0.1,3,CPU time              : 0.001593 s,SATISFIABLE
0.1,3,CPU time              : 0.001016 s,SATISFIABLE
0.1,3,CPU time              : 0.001039 s,SATISFIABLE
0.1,3,CPU time              : 0.001088 s,SATISFIABLE
0.1,3,CPU time              : 0.001073 s,SATISFIABLE
0.2,4,CPU time              : 0.001708 s,SATISFIABLE
0.2,4,CPU time              : 0.001339 s,SATISFIABLE
0.2,3,CPU time              : 0.00126 s,SATISFIABLE
0.2,3,CPU time              : 0.001162 s,SATISFIABLE
0.2,4,CPU time              : 0.00135 s,SATISFIABLE
0.2,4,CPU time              : 0.001505 s,SATISFIABLE
0.2,4,CPU time              : 0.001311 s,SATISFIABLE
0.2,3,CPU time              : 0 s,SATISFIABLE
0.2,3,CPU time              : 0.00159 s,SATISFIABLE
0.2,4,CPU time              : 0.001395 s,SATISFIABLE
0.3,4,CPU time              : 0.00121 s,SATISFIABLE
0.3,4,CPU time              : 0.00179 s,SATISFIABLE
0.3,4,CPU time              : 0 s,SATISFIABLE
0.3,4,CPU time              : 0.001098 s,SATISFIABLE
0.3,4,CPU time              : 0.001474 s,SATISFIABLE
0.3,4,CPU time              : 0.001237 s,SATISFIABLE
0.3,4,CPU time              : 0 s,SATISFIABLE
0.3,5,CPU time              : 0.001468 s,SATISFIABLE
0.3,4,CPU time              : 0.001197 s,SATISFIABLE
0.3,4,CPU time              : 0.00141 s,SATISFIABLE
0.4,5,CPU time              : 0.001378 s,SATISFIABLE
0.4,5,CPU time              : 0.001344 s,SATISFIABLE
0.4,5,CPU time              : 0 s,SATISFIABLE
0.4,5,CPU time              : 0.001355 s,SATISFIABLE
0.4,5,CPU time              : 0.001409 s,SATISFIABLE
0.4,4,CPU time              : 0.001402 s,SATISFIABLE
0.4,5,CPU time              : 0.001334 s,SATISFIABLE
0.4,5,CPU time              : 0.001447 s,SATISFIABLE
0.4,5,CPU time              : 0.001462 s,SATISFIABLE
0.4,5,CPU time              : 0.002352 s,SATISFIABLE
0.5,5,CPU time              : 0.001324 s,SATISFIABLE
0.5,6,CPU time              : 0.001445 s,SATISFIABLE
0.5,6,CPU time              : 0.00158 s,SATISFIABLE
0.5,6,CPU time              : 0.001647 s,SATISFIABLE
0.5,5,CPU time              : 0.001433 s,SATISFIABLE
0.5,6,CPU time              : 0.00188 s,SATISFIABLE
0.5,5,CPU time              : 0.002468 s,SATISFIABLE
0.5,6,CPU time              : 0.00184 s,SATISFIABLE
0.5,6,CPU time              : 0.001598 s,SATISFIABLE
0.5,6,CPU time              : 0 s,SATISFIABLE
0.6,6,CPU time              : 0.002271 s,SATISFIABLE
0.6,6,CPU time              : 0.001548 s,SATISFIABLE
0.6,6,CPU time              : 0.003407 s,SATISFIABLE
0.6,6,CPU time              : 0.001896 s,SATISFIABLE
0.6,6,CPU time              : 0.001635 s,SATISFIABLE
0.6,7,CPU time              : 0.002243 s,SATISFIABLE
0.6,7,CPU time              : 0.001803 s,SATISFIABLE
0.6,8,CPU time              : 0.002446 s,SATISFIABLE
0.6,6,CPU time              : 0.002022 s,SATISFIABLE
0.6,7,CPU time              : 0.001822 s,SATISFIABLE
0.7,8,CPU time              : 0.002691 s,SATISFIABLE
0.7,8,CPU time              : 0.002197 s,SATISFIABLE
0.7,7,CPU time              : 0.002038 s,SATISFIABLE
0.7,7,CPU time              : 0.001973 s,SATISFIABLE
0.7,7,CPU time              : 0.000907 s,SATISFIABLE
0.7,8,CPU time              : 0.00216 s,SATISFIABLE
0.7,9,CPU time              : 0.002701 s,SATISFIABLE
0.7,8,CPU time              : 0.002289 s,SATISFIABLE
0.7,8,CPU time              : 0.00317 s,SATISFIABLE
0.7,8,CPU time              : 0.002031 s,SATISFIABLE
0.8,10,CPU time              : 0.003 s,SATISFIABLE
0.8,10,CPU time              : 0.003789 s,SATISFIABLE
0.8,10,CPU time              : 0.003135 s,SATISFIABLE
0.8,9,CPU time              : 0.002696 s,SATISFIABLE
0.8,10,CPU time              : 0.002887 s,SATISFIABLE
0.8,9,CPU time              : 0.002664 s,SATISFIABLE
0.8,10,CPU time              : 0.002678 s,SATISFIABLE
0.8,9,CPU time              : 0.002649 s,SATISFIABLE
0.8,9,CPU time              : 0.002348 s,SATISFIABLE
0.8,9,CPU time              : 0.002933 s,SATISFIABLE
