N-queens Problem,CPU Time,Satisfiability
2-queens:,CPU time              : 0.000984 s,UNSATISFIABLE
3-queens:,CPU time              : 0.000991 s,UNSATISFIABLE
4-queens:,CPU time              : 0.000904 s,SATISFIABLE
5-queens:,CPU time              : 0 s,SATISFIABLE
6-queens:,CPU time              : 0.000939 s,SATISFIABLE
7-queens:,CPU time              : 0.001009 s,SATISFIABLE
8-queens:,CPU time              : 0.001186 s,SATISFIABLE
9-queens:,CPU time              : 0.001339 s,SATISFIABLE
10-queens:,CPU time              : 0 s,SATISFIABLE
11-queens:,CPU time              : 0.001761 s,SATISFIABLE
12-queens:,CPU time              : 0.002074 s,SATISFIABLE
13-queens:,CPU time              : 0.002189 s,SATISFIABLE
14-queens:,CPU time              : 0.003258 s,SATISFIABLE
15-queens:,CPU time              : 0.000851 s,SATISFIABLE
16-queens:,CPU time              : 0.004212 s,SATISFIABLE
17-queens:,CPU time              : 0.005414 s,SATISFIABLE
18-queens:,CPU time              : 0.005113 s,SATISFIABLE
19-queens:,CPU time              : 0.005948 s,SATISFIABLE
20-queens:,CPU time              : 0.006646 s,SATISFIABLE
21-queens:,CPU time              : 0.006981 s,SATISFIABLE
22-queens:,CPU time              : 0.008056 s,SATISFIABLE
23-queens:,CPU time              : 0.011539 s,SATISFIABLE
24-queens:,CPU time              : 0.010219 s,SATISFIABLE
25-queens:,CPU time              : 0.012997 s,SATISFIABLE
26-queens:,CPU time              : 0.013354 s,SATISFIABLE
27-queens:,CPU time              : 0.018854 s,SATISFIABLE
28-queens:,CPU time              : 0.01706 s,SATISFIABLE
29-queens:,CPU time              : 0.019307 s,SATISFIABLE
30-queens:,CPU time              : 0.016658 s,SATISFIABLE
31-queens:,CPU time              : 0.026494 s,SATISFIABLE
32-queens:,CPU time              : 0.02417 s,SATISFIABLE
33-queens:,CPU time              : 0.03707 s,SATISFIABLE
34-queens:,CPU time              : 0.031887 s,SATISFIABLE
35-queens:,CPU time              : 0.031979 s,SATISFIABLE
36-queens:,CPU time              : 0.041311 s,SATISFIABLE
37-queens:,CPU time              : 0.04611 s,SATISFIABLE
38-queens:,CPU time              : 0.054289 s,SATISFIABLE
39-queens:,CPU time              : 0.055462 s,SATISFIABLE
40-queens:,CPU time              : 0.054255 s,SATISFIABLE
41-queens:,CPU time              : 0.060404 s,SATISFIABLE
42-queens:,CPU time              : 0.064377 s,SATISFIABLE
43-queens:,CPU time              : 0.065812 s,SATISFIABLE
44-queens:,CPU time              : 0.077616 s,SATISFIABLE
45-queens:,CPU time              : 0.078135 s,SATISFIABLE
46-queens:,CPU time              : 0.088905 s,SATISFIABLE
47-queens:,CPU time              : 0.102024 s,SATISFIABLE
48-queens:,CPU time              : 0.10628 s,SATISFIABLE
49-queens:,CPU time              : 0.120358 s,SATISFIABLE
50-queens:,CPU time              : 0.123734 s,SATISFIABLE
51-queens:,CPU time              : 0.136884 s,SATISFIABLE
52-queens:,CPU time              : 0.13992 s,SATISFIABLE
53-queens:,CPU time              : 0.157513 s,SATISFIABLE
54-queens:,CPU time              : 0.159997 s,SATISFIABLE
55-queens:,CPU time              : 0.17892 s,SATISFIABLE
56-queens:,CPU time              : 0.179235 s,SATISFIABLE
57-queens:,CPU time              : 0.192191 s,SATISFIABLE
58-queens:,CPU time              : 0.21458 s,SATISFIABLE
59-queens:,CPU time              : 0.232071 s,SATISFIABLE
60-queens:,CPU time              : 0.235183 s,SATISFIABLE
61-queens:,CPU time              : 0.263728 s,SATISFIABLE
62-queens:,CPU time              : 0.267625 s,SATISFIABLE
63-queens:,CPU time              : 0.321772 s,SATISFIABLE
64-queens:,CPU time              : 0.34248 s,SATISFIABLE
65-queens:,CPU time              : 0.383691 s,SATISFIABLE
66-queens:,CPU time              : 0.362633 s,SATISFIABLE
67-queens:,CPU time              : 0.393603 s,SATISFIABLE
68-queens:,CPU time              : 0.402776 s,SATISFIABLE
69-queens:,CPU time              : 0.412342 s,SATISFIABLE
70-queens:,CPU time              : 0.418484 s,SATISFIABLE
71-queens:,CPU time              : 0.471728 s,SATISFIABLE
72-queens:,CPU time              : 0.476892 s,SATISFIABLE
73-queens:,CPU time              : 0.535584 s,SATISFIABLE
74-queens:,CPU time              : 0.547875 s,SATISFIABLE
75-queens:,CPU time              : 0.600693 s,SATISFIABLE
76-queens:,CPU time              : 0.603838 s,SATISFIABLE
77-queens:,CPU time              : 0.63788 s,SATISFIABLE
78-queens:,CPU time              : 0.690353 s,SATISFIABLE
79-queens:,CPU time              : 0.727798 s,SATISFIABLE
80-queens:,CPU time              : 0.816584 s,SATISFIABLE
81-queens:,CPU time              : 0.819044 s,SATISFIABLE
