N-queens Problem,CPU Time,Satiability
2-queens:,CPU time              : 0.001016 s,UNSATISFIABLE
3-queens:,CPU time              : 0.000932 s,UNSATISFIABLE
4-queens:,CPU time              : 0.001037 s,SATISFIABLE
5-queens:,CPU time              : 0.001361 s,SATISFIABLE
6-queens:,CPU time              : 0.001015 s,SATISFIABLE
7-queens:,CPU time              : 0.001059 s,SATISFIABLE
8-queens:,CPU time              : 0.001305 s,SATISFIABLE
9-queens:,CPU time              : 0.001244 s,SATISFIABLE
10-queens:,CPU time              : 0.001501 s,SATISFIABLE
11-queens:,CPU time              : 0.001986 s,SATISFIABLE
12-queens:,CPU time              : 0.002253 s,SATISFIABLE
13-queens:,CPU time              : 0.002248 s,SATISFIABLE
14-queens:,CPU time              : 0.003328 s,SATISFIABLE
15-queens:,CPU time              : 0.003422 s,SATISFIABLE
16-queens:,CPU time              : 0.003598 s,SATISFIABLE
17-queens:,CPU time              : 0.004476 s,SATISFIABLE
18-queens:,CPU time              : 0.00493 s,SATISFIABLE
19-queens:,CPU time              : 0.005774 s,SATISFIABLE
20-queens:,CPU time              : 0.003324 s,SATISFIABLE
21-queens:,CPU time              : 0.007827 s,SATISFIABLE
22-queens:,CPU time              : 0.008014 s,SATISFIABLE
23-queens:,CPU time              : 0.005502 s,SATISFIABLE
24-queens:,CPU time              : 0.010788 s,SATISFIABLE
25-queens:,CPU time              : 0.012575 s,SATISFIABLE
26-queens:,CPU time              : 0.008697 s,SATISFIABLE
27-queens:,CPU time              : 0.011749 s,SATISFIABLE
28-queens:,CPU time              : 0.017203 s,SATISFIABLE
29-queens:,CPU time              : 0.015796 s,SATISFIABLE
30-queens:,CPU time              : 0.021733 s,SATISFIABLE
31-queens:,CPU time              : 0.026723 s,SATISFIABLE
32-queens:,CPU time              : 0.029688 s,SATISFIABLE
33-queens:,CPU time              : 0.034704 s,SATISFIABLE
34-queens:,CPU time              : 0.032685 s,SATISFIABLE
35-queens:,CPU time              : 0.037167 s,SATISFIABLE
36-queens:,CPU time              : 0.045038 s,SATISFIABLE
37-queens:,CPU time              : 0.045511 s,SATISFIABLE
38-queens:,CPU time              : 0.055858 s,SATISFIABLE
39-queens:,CPU time              : 0.059484 s,SATISFIABLE
40-queens:,CPU time              : 0.059476 s,SATISFIABLE
41-queens:,CPU time              : 0.068764 s,SATISFIABLE
42-queens:,CPU time              : 0.06636 s,SATISFIABLE
43-queens:,CPU time              : 0.08182 s,SATISFIABLE
44-queens:,CPU time              : 0.082542 s,SATISFIABLE
45-queens:,CPU time              : 0.089872 s,SATISFIABLE
46-queens:,CPU time              : 0.088887 s,SATISFIABLE
47-queens:,CPU time              : 0.109005 s,SATISFIABLE
48-queens:,CPU time              : 0.110923 s,SATISFIABLE
49-queens:,CPU time              : 0.140743 s,SATISFIABLE
50-queens:,CPU time              : 0.126152 s,SATISFIABLE
51-queens:,CPU time              : 0.148766 s,SATISFIABLE
52-queens:,CPU time              : 0.146526 s,SATISFIABLE
53-queens:,CPU time              : 0.180995 s,SATISFIABLE
54-queens:,CPU time              : 0.187128 s,SATISFIABLE
55-queens:,CPU time              : 0.191292 s,SATISFIABLE
56-queens:,CPU time              : 0.212809 s,SATISFIABLE
57-queens:,CPU time              : 0.226118 s,SATISFIABLE
58-queens:,CPU time              : 0.228818 s,SATISFIABLE
59-queens:,CPU time              : 0.244535 s,SATISFIABLE
60-queens:,CPU time              : 0.256095 s,SATISFIABLE
61-queens:,CPU time              : 0.268954 s,SATISFIABLE
62-queens:,CPU time              : 0.297338 s,SATISFIABLE
63-queens:,CPU time              : 0.341727 s,SATISFIABLE
64-queens:,CPU time              : 0.358631 s,SATISFIABLE
65-queens:,CPU time              : 0.405463 s,SATISFIABLE
66-queens:,CPU time              : 0.394606 s,SATISFIABLE
67-queens:,CPU time              : 0.427294 s,SATISFIABLE
68-queens:,CPU time              : 0.414313 s,SATISFIABLE
69-queens:,CPU time              : 0.450726 s,SATISFIABLE
70-queens:,CPU time              : 0.465237 s,SATISFIABLE
71-queens:,CPU time              : 0.509798 s,SATISFIABLE
72-queens:,CPU time              : 0.544431 s,SATISFIABLE
73-queens:,CPU time              : 0.528741 s,SATISFIABLE
74-queens:,CPU time              : 0.575943 s,SATISFIABLE
75-queens:,CPU time              : 0.634605 s,SATISFIABLE
76-queens:,CPU time              : 0.622208 s,SATISFIABLE
77-queens:,CPU time              : 0.689752 s,SATISFIABLE
78-queens:,CPU time              : 0.676677 s,SATISFIABLE
79-queens:,CPU time              : 0.747598 s,SATISFIABLE
80-queens:,CPU time              : 0.794109 s,SATISFIABLE
81-queens:,CPU time              : 0.85704 s,SATISFIABLE
82-queens:,CPU time              : 0.829936 s,SATISFIABLE
83-queens:,CPU time              : 0.913019 s,SATISFIABLE
84-queens:,CPU time              : 0.924581 s,SATISFIABLE
85-queens:,CPU time              : 0.96988 s,SATISFIABLE
86-queens:,CPU time              : 0.99968 s,SATISFIABLE
87-queens:,CPU time              : 1.09434 s,SATISFIABLE
88-queens:,CPU time              : 1.11028 s,SATISFIABLE
89-queens:,CPU time              : 1.19243 s,SATISFIABLE
90-queens:,CPU time              : 1.20363 s,SATISFIABLE
91-queens:,CPU time              : 1.25463 s,SATISFIABLE
92-queens:,CPU time              : 1.3218 s,SATISFIABLE
93-queens:,CPU time              : 1.41498 s,SATISFIABLE
94-queens:,CPU time              : 1.42208 s,SATISFIABLE
95-queens:,CPU time              : 1.73241 s,SATISFIABLE
96-queens:,CPU time              : 1.75762 s,SATISFIABLE
97-queens:,CPU time              : 1.7877 s,SATISFIABLE
98-queens:,CPU time              : 1.69273 s,SATISFIABLE
99-queens:,CPU time              : 1.82467 s,SATISFIABLE
100-queens:,CPU time              : 1.8402 s,SATISFIABLE
